epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2262,0,83.1953,0,0,0,0,0,0,76.3429,0,4e-05,4e-05,4e-05
2,21.2034,0,81.7759,0,0,0,0,0,0,76.4818,0,9.67e-05,9.67e-05,9.67e-05
3,31.0409,0,80.2231,0,0,0,0,0,0,76.432,0,0.00014944,0.00014944,0.00014944
4,41.032,0,78.4672,0,0,0,0,0,0,76.7592,0,0.00019822,0.00019822,0.00019822
5,50.8284,0,75.7019,0,0,0,0,0,0,77.1291,0,0.00024304,0.00024304,0.00024304
6,60.8853,0,71.7945,0,0,0,0,0,0,77.088,0,0.0002839,0.0002839,0.0002839
7,70.5554,0,68.5647,0,0,0,0,0,0,76.6645,0,0.0003208,0.0003208,0.0003208
8,80.3569,0,66.1185,0,0,0,0,0,0,76.2701,0,0.00035374,0.00035374,0.00035374
9,90.7221,0,63.9597,0,0,0,0,0,0,75.199,0,0.00038272,0.00038272,0.00038272
10,100.593,0,61.3291,0,0,0,0,0,0,73.8316,0,0.00040774,0.00040774,0.00040774
11,110.298,0,58.8292,0,0,0,0,0,0,70.6873,0,0.0004288,0.0004288,0.0004288
12,120.163,0,60.8867,0,0,0,0,0,0,69.9141,0,0.0004459,0.0004459,0.0004459
13,130.1,0,56.455,0,0,0,0,0,0,66.6528,0,0.00045904,0.00045904,0.00045904
14,140.138,0,54.7299,0,0,0,0,0,0,63.7221,0,0.00046822,0.00046822,0.00046822
15,149.895,0,53.218,0,0,0,0,0,0,58.6895,0,0.00047344,0.00047344,0.00047344
16,159.72,0,52.3252,0,0,0,0,0,0,57.4763,0,0.0004747,0.0004747,0.0004747
17,169.382,0,51.4697,0,0,0,0,0,0,53.5417,0,0.000472,0.000472,0.000472
18,179.257,0,53.0219,0,0,0,0,0,0,51.9406,0,0.00046534,0.00046534,0.00046534
19,188.948,0,51.2149,0,0,0,0,0,0,50.8827,0,0.00045472,0.00045472,0.00045472
20,199.232,0,50.3074,0,0,0,0,0,0,50.3294,0,0.00044014,0.00044014,0.00044014
21,209.185,0,50.6478,0,0,0,0,0,0,50.971,0,0.0004216,0.0004216,0.0004216
22,218.99,0,50.2047,0,0,0,0,0,0,51.6696,0,0.0003991,0.0003991,0.0003991
23,228.822,0,49.3817,0,0,0,0,0,0,51.2715,0,0.00037264,0.00037264,0.00037264
24,238.805,0,48.8739,0,0,0,0,0,0,50.034,0,0.00034222,0.00034222,0.00034222
25,248.652,0,50.1881,0,0,0,0,0,0,49.0985,0,0.00030784,0.00030784,0.00030784
26,258.574,0,48.2235,0,0,0,0,0,0,48.0357,0,0.0002695,0.0002695,0.0002695
27,268.941,0,47.5972,0,0,0,0,0,0,46.6572,0,0.0002272,0.0002272,0.0002272
28,278.833,0,47.456,0,0,0,0,0,0,45.6067,0,0.00018094,0.00018094,0.00018094
29,288.692,0,47.3854,0,0,0,0,0,0,45.6067,0,0.00013072,0.00013072,0.00013072
30,298.563,0,47.4595,0,0,0,0,0,0,45.571,0,7.654e-05,7.654e-05,7.654e-05
