epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,75289.5,1.93774,1.74238,1.42398,0.43538,0.25,0.252,0.09638,2.40171,1.92945,1.13048,0.008614,0.008614,0.008614
44,77068.7,1.94248,1.74403,1.43543,0.43572,0.26955,0.27692,0.10972,2.37903,1.92061,1.11589,0.008581,0.008581,0.008581
45,78853.3,1.94467,1.74578,1.43234,0.46741,0.22905,0.2414,0.0954,2.42957,2.00322,1.13901,0.008548,0.008548,0.008548
46,80635,1.92889,1.72533,1.42972,0.41536,0.22905,0.23683,0.08984,2.45751,1.97735,1.15373,0.008515,0.008515,0.008515
47,82414.8,1.91775,1.72314,1.42077,0.39057,0.2514,0.23682,0.09062,2.3824,2.0029,1.12693,0.008482,0.008482,0.008482
48,84209.3,1.92314,1.70122,1.41684,0.41929,0.28034,0.26348,0.10143,2.36718,1.90834,1.12104,0.008449,0.008449,0.008449
49,85979.7,1.9208,1.70926,1.42767,0.4312,0.24352,0.24973,0.09537,2.39983,1.91454,1.13159,0.008416,0.008416,0.008416
50,87744.6,1.90996,1.69977,1.41266,0.37975,0.25568,0.23238,0.09277,2.40998,1.96962,1.14852,0.008383,0.008383,0.008383
51,89519.5,1.91306,1.69429,1.40594,0.37332,0.24721,0.22571,0.09176,2.39645,1.97575,1.14515,0.00835,0.00835,0.00835
52,91292.6,1.90387,1.68313,1.40842,0.38787,0.24581,0.23031,0.0926,2.43316,1.95895,1.13541,0.008317,0.008317,0.008317
53,93067.4,1.9073,1.68441,1.41468,0.41289,0.25,0.24154,0.09678,2.40072,1.93688,1.14474,0.008284,0.008284,0.008284
54,94858.1,1.89139,1.66297,1.41871,0.42403,0.22346,0.22571,0.08952,2.3846,1.98218,1.13926,0.008251,0.008251,0.008251
55,96629.2,1.89487,1.65802,1.40748,0.40632,0.27374,0.26275,0.09937,2.37401,1.87568,1.12385,0.008218,0.008218,0.008218
56,98388.6,1.91195,1.6888,1.41936,0.38535,0.27374,0.25736,0.10184,2.39203,1.8527,1.12469,0.008185,0.008185,0.008185
57,100161,1.89428,1.67862,1.40775,0.40221,0.26117,0.24199,0.09443,2.40235,1.91682,1.12686,0.008152,0.008152,0.008152
58,101931,1.8858,1.66905,1.39675,0.40673,0.28073,0.27429,0.10448,2.3526,1.85413,1.11316,0.008119,0.008119,0.008119
59,103695,1.88481,1.64121,1.39251,0.39894,0.27095,0.25428,0.1044,2.3877,1.8472,1.13002,0.008086,0.008086,0.008086
60,105456,1.88632,1.64348,1.39452,0.40781,0.26397,0.25284,0.09725,2.3877,1.88627,1.13138,0.008053,0.008053,0.008053
61,107219,1.86972,1.6225,1.38382,0.43096,0.27095,0.26664,0.09908,2.39597,1.86919,1.13368,0.00802,0.00802,0.00802
62,108976,1.87746,1.63557,1.39002,0.43759,0.26397,0.2519,0.10271,2.36408,1.84203,1.12722,0.007987,0.007987,0.007987
63,110738,1.86478,1.61826,1.38385,0.40333,0.25978,0.24558,0.09995,2.3751,1.85781,1.13351,0.007954,0.007954,0.007954
64,112497,1.85695,1.59631,1.38196,0.42151,0.27986,0.27661,0.11085,2.36633,1.82845,1.1106,0.007921,0.007921,0.007921
65,114258,1.86839,1.61774,1.3744,0.4647,0.28771,0.28154,0.11101,2.33772,1.81643,1.11223,0.007888,0.007888,0.007888
66,116015,1.87234,1.62258,1.39132,0.39775,0.27374,0.25545,0.1011,2.37359,1.87339,1.14078,0.007855,0.007855,0.007855
67,117772,1.86539,1.61097,1.38139,0.42446,0.26575,0.27362,0.10743,2.34319,1.84684,1.11991,0.007822,0.007822,0.007822
68,119526,1.85258,1.60118,1.374,0.4313,0.27514,0.26096,0.10509,2.36227,1.81693,1.11919,0.007789,0.007789,0.007789
69,121285,1.85369,1.60644,1.37735,0.4223,0.28073,0.27525,0.10947,2.36114,1.81493,1.11805,0.007756,0.007756,0.007756
70,123049,1.8627,1.5955,1.37314,0.3993,0.28771,0.27601,0.11034,2.35673,1.84665,1.11154,0.007723,0.007723,0.007723
